fit,strength_noise_80,strength_noise_95,strength_noise_110,strength_noise_125,outer_fold,empty_prior_rows,nested_fold
outer,128.0,128.0,128.0,128.0,1,0,
outer,128.0,128.0,128.0,128.0,2,0,
outer,128.0,128.0,128.0,128.0,3,0,
outer,128.0,128.0,128.0,128.0,4,0,
outer,128.0,128.0,128.0,128.0,5,0,
nested,128.0,128.0,128.0,128.0,1,0,2.0
nested,128.0,128.0,128.0,128.0,1,0,3.0
nested,128.0,128.0,128.0,128.0,1,0,4.0
nested,128.0,128.0,128.0,128.0,1,0,5.0
nested,128.0,128.0,128.0,128.0,2,0,1.0
nested,128.0,128.0,128.0,128.0,2,0,3.0
nested,128.0,128.0,128.0,128.0,2,0,4.0
nested,128.0,128.0,128.0,128.0,2,0,5.0
nested,128.0,128.0,128.0,128.0,3,0,1.0
nested,128.0,128.0,128.0,128.0,3,0,2.0
nested,128.0,128.0,128.0,128.0,3,0,4.0
nested,128.0,128.0,128.0,128.0,3,0,5.0
nested,128.0,128.0,128.0,128.0,4,0,1.0
nested,128.0,128.0,128.0,128.0,4,0,2.0
nested,128.0,128.0,128.0,128.0,4,0,3.0
nested,128.0,128.0,128.0,128.0,4,0,5.0
nested,128.0,128.0,128.0,128.0,5,0,1.0
nested,128.0,128.0,128.0,128.0,5,0,2.0
nested,128.0,128.0,128.0,128.0,5,0,3.0
nested,128.0,128.0,128.0,128.0,5,0,4.0
