forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq
human confusion row (individual),80,0.0,0.01,68270,0.002061116867493247,0.0027244763439285193
human confusion row (individual),80,0.01,0.02,5199,0.014261217717310324,0.009809578765147143
human confusion row (individual),80,0.02,0.05,4988,0.030675690605825846,0.030072173215717722
human confusion row (individual),80,0.05,0.1,2207,0.06718858360174608,0.03987313094698686
human confusion row (individual),80,0.1,0.2,794,0.13619650214097367,0.09445843828715365
human confusion row (individual),80,0.2,0.3,78,0.2385805326932613,0.19230769230769232
human confusion row (individual),80,0.3,0.4,114,0.35954802378330786,0.543859649122807
human confusion row (individual),80,0.4,0.5,149,0.45171875677595413,0.48322147651006714
human confusion row (individual),80,0.5,0.6,111,0.5460808854193593,0.5585585585585585
human confusion row (individual),80,0.6,0.7,207,0.6587540415628249,0.7246376811594203
human confusion row (individual),80,0.7,0.8,364,0.7478622853969232,0.7225274725274725
human confusion row (individual),80,0.8,0.9,746,0.8661960899088752,0.8873994638069705
human confusion row (individual),80,0.9,0.95,1224,0.9302584782803012,0.9354575163398693
human confusion row (individual),80,0.95,1.0,2509,0.9684282426526353,0.9780789159027501
human confusion row (individual),95,0.0,0.01,63471,0.002063874306716976,0.003403128988041783
human confusion row (individual),95,0.01,0.02,6624,0.014746474261415095,0.010265700483091788
human confusion row (individual),95,0.02,0.05,7327,0.032038700014547894,0.02620444929712024
human confusion row (individual),95,0.05,0.1,2749,0.06990759431159778,0.05456529647144416
human confusion row (individual),95,0.1,0.2,1104,0.13679855545563394,0.11775362318840579
human confusion row (individual),95,0.2,0.3,327,0.24803246227533984,0.21712538226299694
human confusion row (individual),95,0.3,0.4,203,0.36033719119742647,0.3793103448275862
human confusion row (individual),95,0.4,0.5,151,0.4453367718981252,0.4304635761589404
human confusion row (individual),95,0.5,0.6,79,0.5506822174608278,0.5316455696202531
human confusion row (individual),95,0.6,0.7,271,0.6625410965920985,0.7195571955719557
human confusion row (individual),95,0.7,0.8,379,0.7644982375505033,0.8021108179419525
human confusion row (individual),95,0.8,0.9,901,0.8457370465140565,0.8501664816870145
human confusion row (individual),95,0.9,0.95,1451,0.9257752099016701,0.9400413507925569
human confusion row (individual),95,0.95,1.0,1843,0.9678604780145608,0.9712425393380358
human confusion row (individual),110,0.0,0.01,53388,0.0021788853975464174,0.004682700232261932
human confusion row (individual),110,0.01,0.02,9353,0.014331240071803272,0.012295520153961296
human confusion row (individual),110,0.02,0.05,11240,0.032213735284665895,0.030782918149466192
human confusion row (individual),110,0.05,0.1,5504,0.06739883438287626,0.055050872093023256
human confusion row (individual),110,0.1,0.2,1859,0.13017279741898535,0.10220548682087144
human confusion row (individual),110,0.2,0.3,754,0.25512281987337926,0.25596816976127323
human confusion row (individual),110,0.3,0.4,318,0.3437713522667956,0.3490566037735849
human confusion row (individual),110,0.4,0.5,251,0.44328459065345227,0.43824701195219123
human confusion row (individual),110,0.5,0.6,360,0.5488924926539,0.6027777777777777
human confusion row (individual),110,0.6,0.7,338,0.6495463321105402,0.6035502958579881
human confusion row (individual),110,0.7,0.8,522,0.7441109009125589,0.7528735632183908
human confusion row (individual),110,0.8,0.9,1232,0.8633970151252032,0.872564935064935
human confusion row (individual),110,0.9,0.95,1075,0.9320734790740366,0.9376744186046512
human confusion row (individual),110,0.95,1.0,974,0.9634419810841671,0.9579055441478439
human confusion row (individual),125,0.0,0.01,32919,0.002609612964777436,0.007958929493605516
human confusion row (individual),125,0.01,0.02,13900,0.014518757657410506,0.018489208633093526
human confusion row (individual),125,0.02,0.05,19576,0.03270988893586758,0.034378831221904375
human confusion row (individual),125,0.05,0.1,11905,0.06837694980334666,0.05543889122217556
human confusion row (individual),125,0.1,0.2,2837,0.12956525462717133,0.1075079309129362
human confusion row (individual),125,0.2,0.3,1393,0.24966473138816508,0.24838478104809764
human confusion row (individual),125,0.3,0.4,676,0.3376219573404456,0.3594674556213018
human confusion row (individual),125,0.4,0.5,493,0.44732807110302886,0.40973630831643004
human confusion row (individual),125,0.5,0.6,290,0.5513455237465775,0.506896551724138
human confusion row (individual),125,0.6,0.7,419,0.6531459902603005,0.649164677804296
human confusion row (individual),125,0.7,0.8,632,0.7521916160187258,0.759493670886076
human confusion row (individual),125,0.8,0.9,1111,0.8547091499861759,0.8316831683168316
human confusion row (individual),125,0.9,0.95,650,0.9292721651458398,0.9276923076923077
human confusion row (individual),125,0.95,1.0,63,0.9563495179574761,0.873015873015873
raw baseline (a),80,0.0,0.01,12466,0.00126701583434314,0.0009626183218353923
raw baseline (a),80,0.01,0.02,341,0.014240936287470427,0.01466275659824047
raw baseline (a),80,0.02,0.05,296,0.030756747158483408,0.04391891891891892
raw baseline (a),80,0.05,0.1,185,0.07185550028633805,0.08108108108108109
raw baseline (a),80,0.1,0.2,115,0.1436426660123551,0.19130434782608696
raw baseline (a),80,0.2,0.3,56,0.2524209195552051,0.35714285714285715
raw baseline (a),80,0.3,0.4,58,0.34733080612815914,0.3620689655172414
raw baseline (a),80,0.4,0.5,34,0.44361060648043144,0.2647058823529412
raw baseline (a),80,0.5,0.6,28,0.5474057563094238,0.5357142857142857
raw baseline (a),80,0.6,0.7,37,0.6416455916153169,0.5945945945945946
raw baseline (a),80,0.7,0.8,36,0.74731305811132,0.7777777777777778
raw baseline (a),80,0.8,0.9,58,0.8634549595060936,0.7413793103448276
raw baseline (a),80,0.9,0.95,60,0.9298014829560706,0.85
raw baseline (a),80,0.95,1.0,630,0.9829040259900507,0.9904761904761905
raw baseline (a),95,0.0,0.01,12228,0.001359373307490422,0.0007360157016683023
raw baseline (a),95,0.01,0.02,384,0.014534766614384324,0.020833333333333332
raw baseline (a),95,0.02,0.05,417,0.031463316770334745,0.050359712230215826
raw baseline (a),95,0.05,0.1,211,0.07015973117655114,0.07582938388625593
raw baseline (a),95,0.1,0.2,148,0.14001496506034394,0.1554054054054054
raw baseline (a),95,0.2,0.3,77,0.25022549478738476,0.2857142857142857
raw baseline (a),95,0.3,0.4,52,0.34836069364331934,0.4230769230769231
raw baseline (a),95,0.4,0.5,40,0.4436201503271814,0.475
raw baseline (a),95,0.5,0.6,47,0.5534263348487193,0.5106382978723404
raw baseline (a),95,0.6,0.7,38,0.6510315552675011,0.5263157894736842
raw baseline (a),95,0.7,0.8,39,0.7517359019960913,0.6666666666666666
raw baseline (a),95,0.8,0.9,71,0.8572723476921085,0.8169014084507042
raw baseline (a),95,0.9,0.95,66,0.9304426882449277,0.8484848484848485
raw baseline (a),95,0.95,1.0,582,0.9822675177118478,0.9896907216494846
raw baseline (a),110,0.0,0.01,11803,0.0015029661882582734,0.0007625180038973142
raw baseline (a),110,0.01,0.02,502,0.0142761718131177,0.021912350597609563
raw baseline (a),110,0.02,0.05,526,0.03200604855545177,0.030418250950570342
raw baseline (a),110,0.05,0.1,308,0.07152145016780977,0.08766233766233766
raw baseline (a),110,0.1,0.2,232,0.1400574345600339,0.14655172413793102
raw baseline (a),110,0.2,0.3,95,0.24873702626946828,0.37894736842105264
raw baseline (a),110,0.3,0.4,69,0.34467995252769906,0.3333333333333333
raw baseline (a),110,0.4,0.5,51,0.45453395495357135,0.5098039215686274
raw baseline (a),110,0.5,0.6,48,0.5547150912844976,0.4375
raw baseline (a),110,0.6,0.7,54,0.6484896793698363,0.5925925925925926
raw baseline (a),110,0.7,0.8,55,0.7473779469919425,0.7090909090909091
raw baseline (a),110,0.8,0.9,88,0.8561224840824889,0.7840909090909091
raw baseline (a),110,0.9,0.95,61,0.9286930599683922,0.8688524590163934
raw baseline (a),110,0.95,1.0,508,0.9811081958422526,0.9921259842519685
raw baseline (a),125,0.0,0.01,10793,0.001791683358567256,0.0012971370332622997
raw baseline (a),125,0.01,0.02,790,0.014187813857361257,0.016455696202531647
raw baseline (a),125,0.02,0.05,899,0.0316699390556451,0.03337041156840934
raw baseline (a),125,0.05,0.1,475,0.07070701792579707,0.08421052631578947
raw baseline (a),125,0.1,0.2,341,0.14301571289463308,0.16129032258064516
raw baseline (a),125,0.2,0.3,166,0.24518663647036956,0.19879518072289157
raw baseline (a),125,0.3,0.4,106,0.34420504710906075,0.4528301886792453
raw baseline (a),125,0.4,0.5,86,0.44621333653689965,0.5
raw baseline (a),125,0.5,0.6,72,0.5448039377363368,0.5
raw baseline (a),125,0.6,0.7,66,0.648208770994913,0.5757575757575758
raw baseline (a),125,0.7,0.8,65,0.7442651918512296,0.7076923076923077
raw baseline (a),125,0.8,0.9,107,0.8539544072717837,0.8037383177570093
raw baseline (a),125,0.9,0.95,73,0.9256649231961107,0.863013698630137
raw baseline (a),125,0.95,1.0,361,0.9798778318742315,0.9833795013850416
F0: recalibrated (a),80,0.0,0.01,12463,0.0012891366627381705,0.0009628500361068764
F0: recalibrated (a),80,0.01,0.02,339,0.014253831393042348,0.014749262536873156
F0: recalibrated (a),80,0.02,0.05,300,0.0307038923304802,0.043333333333333335
F0: recalibrated (a),80,0.05,0.1,184,0.07170204123276498,0.08152173913043478
F0: recalibrated (a),80,0.1,0.2,117,0.14312091005758565,0.18803418803418803
F0: recalibrated (a),80,0.2,0.3,57,0.2532339650022005,0.3508771929824561
F0: recalibrated (a),80,0.3,0.4,57,0.34784240503284924,0.3684210526315789
F0: recalibrated (a),80,0.4,0.5,35,0.44462781145966546,0.2857142857142857
F0: recalibrated (a),80,0.5,0.6,28,0.5500449901306086,0.5357142857142857
F0: recalibrated (a),80,0.6,0.7,36,0.6417795980044839,0.5833333333333334
F0: recalibrated (a),80,0.7,0.8,36,0.7461378245715786,0.7777777777777778
F0: recalibrated (a),80,0.8,0.9,59,0.8629607962559049,0.7457627118644068
F0: recalibrated (a),80,0.9,0.95,59,0.9295059842548383,0.847457627118644
F0: recalibrated (a),80,0.95,1.0,630,0.982550472520202,0.9904761904761905
F0: recalibrated (a),95,0.0,0.01,12224,0.001381596817837264,0.0007362565445026178
F0: recalibrated (a),95,0.01,0.02,385,0.014575274126501,0.02077922077922078
F0: recalibrated (a),95,0.02,0.05,418,0.03149785108933032,0.050239234449760764
F0: recalibrated (a),95,0.05,0.1,211,0.0699405705981737,0.07582938388625593
F0: recalibrated (a),95,0.1,0.2,150,0.13971973417452996,0.15333333333333332
F0: recalibrated (a),95,0.2,0.3,77,0.25027158385729653,0.2857142857142857
F0: recalibrated (a),95,0.3,0.4,52,0.34800480588801835,0.4230769230769231
F0: recalibrated (a),95,0.4,0.5,41,0.4442129502751011,0.4878048780487805
F0: recalibrated (a),95,0.5,0.6,47,0.5545291530766815,0.48936170212765956
F0: recalibrated (a),95,0.6,0.7,37,0.6511295094441367,0.5405405405405406
F0: recalibrated (a),95,0.7,0.8,39,0.750513604148776,0.6666666666666666
