forecast,noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,design,panel
sequential: unassisted rows,0,0.0,0.01,22026,0.006725558578764171,0.014346681194951421,sequential,sequential
sequential: unassisted rows,0,0.01,0.02,44383,0.014909871014404125,0.022080526327647974,sequential,sequential
sequential: unassisted rows,0,0.02,0.05,87563,0.03398007957364968,0.038064022475246394,sequential,sequential
sequential: unassisted rows,0,0.05,0.1,49361,0.06532945623842303,0.04420493912197889,sequential,sequential
sequential: unassisted rows,0,0.1,0.2,6645,0.13346052563720665,0.10639578630549285,sequential,sequential
sequential: unassisted rows,0,0.2,0.3,2648,0.24660797799678283,0.2854984894259819,sequential,sequential
sequential: unassisted rows,0,0.3,0.4,1487,0.3574515291136351,0.35642232683254876,sequential,sequential
sequential: unassisted rows,0,0.4,0.5,1065,0.44622789279560576,0.4610328638497653,sequential,sequential
sequential: unassisted rows,0,0.5,0.6,945,0.5408850139068861,0.5248677248677248,sequential,sequential
sequential: unassisted rows,0,0.6,0.7,1416,0.6637948744531122,0.7980225988700564,sequential,sequential
sequential: unassisted rows,0,0.7,0.8,2499,0.7464359027791249,0.7747098839535814,sequential,sequential
sequential: unassisted rows,0,0.8,0.9,1146,0.8298024387372546,0.8438045375218151,sequential,sequential
sequential: assisted rows,0,0.0,0.01,72747,0.0035127497936654796,0.012137957579006695,sequential,sequential
sequential: assisted rows,0,0.01,0.02,31913,0.014400567543612639,0.023188042490521105,sequential,sequential
sequential: assisted rows,0,0.02,0.05,61658,0.03346096134144994,0.03376690778163417,sequential,sequential
sequential: assisted rows,0,0.05,0.1,34145,0.06739746719868156,0.04182164299311759,sequential,sequential
sequential: assisted rows,0,0.1,0.2,8179,0.12984342121246076,0.0758038880058687,sequential,sequential
sequential: assisted rows,0,0.2,0.3,1558,0.25079667235271247,0.3157894736842105,sequential,sequential
sequential: assisted rows,0,0.3,0.4,1542,0.3437867383784989,0.3780804150453956,sequential,sequential
sequential: assisted rows,0,0.4,0.5,1891,0.44724635238669364,0.508725542041248,sequential,sequential
sequential: assisted rows,0,0.5,0.6,1183,0.5426186923179456,0.5164835164835165,sequential,sequential
sequential: assisted rows,0,0.6,0.7,728,0.6487464486786771,0.6648351648351648,sequential,sequential
sequential: assisted rows,0,0.7,0.8,1321,0.7517620808752389,0.8387585162755489,sequential,sequential
sequential: assisted rows,0,0.8,0.9,2704,0.8496088374137517,0.8594674556213018,sequential,sequential
sequential: assisted rows,0,0.9,0.95,1040,0.9214629487023597,0.9076923076923077,sequential,sequential
sequential: assisted rows,0,0.95,1.0,575,0.9616188639687722,0.9791304347826087,sequential,sequential
concurrent: unassisted rows,0,0.0,0.01,4907,0.008439517350578928,0.019563888322804156,concurrent,concurrent
concurrent: unassisted rows,0,0.01,0.02,11613,0.014599026669000453,0.020838715232928615,concurrent,concurrent
concurrent: unassisted rows,0,0.02,0.05,25826,0.03228791020208206,0.032215596685510724,concurrent,concurrent
concurrent: unassisted rows,0,0.05,0.1,13752,0.06743146276545735,0.047193135543920885,concurrent,concurrent
concurrent: unassisted rows,0,0.1,0.2,3289,0.12617492684615206,0.08330799635147461,concurrent,concurrent
concurrent: unassisted rows,0,0.2,0.3,520,0.24347671835152254,0.325,concurrent,concurrent
concurrent: unassisted rows,0,0.3,0.4,247,0.34795380243146345,0.4574898785425101,concurrent,concurrent
concurrent: unassisted rows,0,0.4,0.5,112,0.42150497055893077,0.5892857142857143,concurrent,concurrent
concurrent: unassisted rows,0,0.5,0.6,659,0.5475304752095516,0.7632776934749621,concurrent,concurrent
concurrent: unassisted rows,0,0.6,0.7,654,0.6498286101133739,0.6865443425076453,concurrent,concurrent
concurrent: unassisted rows,0,0.7,0.8,489,0.7471674160874979,0.803680981595092,concurrent,concurrent
concurrent: unassisted rows,0,0.8,0.9,108,0.8142408549729735,0.9259259259259259,concurrent,concurrent
concurrent: assisted rows,0,0.0,0.01,61251,0.003980198054459739,0.011428384842696445,concurrent,concurrent
concurrent: assisted rows,0,0.01,0.02,32408,0.014072565690756433,0.016477412984448284,concurrent,concurrent
concurrent: assisted rows,0,0.02,0.05,46879,0.03348949417490431,0.0354316431664498,concurrent,concurrent
concurrent: assisted rows,0,0.05,0.1,27520,0.0686397615289454,0.04643895348837209,concurrent,concurrent
concurrent: assisted rows,0,0.1,0.2,8609,0.12853753885745078,0.07213381345103961,concurrent,concurrent
concurrent: assisted rows,0,0.2,0.3,1235,0.2401272694079719,0.2574898785425101,concurrent,concurrent
concurrent: assisted rows,0,0.3,0.4,1251,0.35128621775457397,0.4460431654676259,concurrent,concurrent
concurrent: assisted rows,0,0.4,0.5,1157,0.4480319246100239,0.4995678478824546,concurrent,concurrent
concurrent: assisted rows,0,0.5,0.6,454,0.55041605252825,0.6101321585903083,concurrent,concurrent
concurrent: assisted rows,0,0.6,0.7,463,0.6573959159914268,0.755939524838013,concurrent,concurrent
concurrent: assisted rows,0,0.7,0.8,2005,0.7543441189089494,0.8533665835411471,concurrent,concurrent
concurrent: assisted rows,0,0.8,0.9,2446,0.855449270054024,0.8577269010629599,concurrent,concurrent
concurrent: assisted rows,0,0.9,0.95,929,0.9189271510128161,0.9149623250807319,concurrent,concurrent
concurrent: assisted rows,0,0.95,1.0,145,0.9615221187832974,0.9517241379310345,concurrent,concurrent
