run,fold,noise,combiner,weights
main:alexnet_baseline,1,all,F0,[0.4887372520085772]
main:alexnet_baseline,1,all,Fr,"[0.136595076221105, 0.387362233910769]"
main:alexnet_baseline,1,all,Fhp,"[0.25944168759320124, 0.7403871531472768]"
main:alexnet_baseline,1,all,Frhp,"[0.10338146454375616, 0.18158407827561956, 0.7128602208803272]"
main:alexnet_baseline,1,all,Fh,"[0.24509908396122648, 0.898322498958743]"
main:alexnet_baseline,1,all,Frh,"[0.058768288528154924, 0.22126396396504527, 0.8550801720454608]"
main:alexnet_baseline,2,all,F0,[0.5068737075661123]
main:alexnet_baseline,2,all,Fr,"[0.14909587757734655, 0.3895424942717937]"
main:alexnet_baseline,2,all,Fhp,"[0.2501304327760635, 0.7304890608100753]"
main:alexnet_baseline,2,all,Frhp,"[0.0943878148450632, 0.17402851226469315, 0.7014892613724835]"
main:alexnet_baseline,2,all,Fh,"[0.2556869174447935, 0.8958911523737827]"
main:alexnet_baseline,2,all,Frh,"[0.0663737902213741, 0.21739356329112805, 0.8509034772517197]"
main:alexnet_baseline,3,all,F0,[0.5068533655893022]
main:alexnet_baseline,3,all,Fr,"[0.1455986346611899, 0.39446790889407685]"
main:alexnet_baseline,3,all,Fhp,"[0.26061495361059395, 0.7388526009016492]"
main:alexnet_baseline,3,all,Frhp,"[0.09500961663348709, 0.19240253906234905, 0.7104314039299315]"
main:alexnet_baseline,3,all,Fh,"[0.26929461200538796, 0.8999811743902664]"
main:alexnet_baseline,3,all,Frh,"[0.07123324731309552, 0.2279870562592735, 0.8496773681504364]"
main:alexnet_baseline,4,all,F0,[0.4930819320225294]
main:alexnet_baseline,4,all,Fr,"[0.12573767234103, 0.40353838909807327]"
main:alexnet_baseline,4,all,Fhp,"[0.2518670429640635, 0.7309743328462176]"
main:alexnet_baseline,4,all,Frhp,"[0.0702177892410625, 0.20892769736438627, 0.7000471594071445]"
main:alexnet_baseline,4,all,Fh,"[0.244228963979983, 0.9011778481522825]"
main:alexnet_baseline,4,all,Frh,"[0.04411096379231522, 0.23634551389879607, 0.8498196554005832]"
main:alexnet_baseline,5,all,F0,[0.5029060931108055]
main:alexnet_baseline,5,all,Fr,"[0.14680290887414518, 0.3873422166604142]"
main:alexnet_baseline,5,all,Fhp,"[0.2721160247311304, 0.7275500758310336]"
main:alexnet_baseline,5,all,Frhp,"[0.11812835658382481, 0.17920992039601186, 0.6998811036924517]"
main:alexnet_baseline,5,all,Fh,"[0.26405208795456897, 0.8971591921145122]"
main:alexnet_baseline,5,all,Frh,"[0.07619158486526503, 0.21720864716125254, 0.851755900124328]"
main:alexnet_epoch00,1,all,F0,[0.9988044938391923]
main:alexnet_epoch00,1,all,Fr,"[0.3784908062175415, 0.513191988689866]"
main:alexnet_epoch00,1,all,Fhp,"[0.6489428648215019, 0.6532866179771157]"
main:alexnet_epoch00,1,all,Frhp,"[0.291365525465384, 0.32154430319583016, 0.5788085102263131]"
main:alexnet_epoch00,1,all,Fh,"[0.7720330658488105, 0.7909132599755941]"
main:alexnet_epoch00,1,all,Frh,"[0.3276646671159026, 0.37387923005610546, 0.6662805219277496]"
main:alexnet_epoch00,2,all,F0,[1.0129986896824485]
main:alexnet_epoch00,2,all,Fr,"[0.3997681641893219, 0.5042237806597561]"
main:alexnet_epoch00,2,all,Fhp,"[0.5892554656372312, 0.6337338015401844]"
main:alexnet_epoch00,2,all,Frhp,"[0.23289389354667508, 0.3189921868844896, 0.5584532798931614]"
main:alexnet_epoch00,2,all,Fh,"[0.771606969944747, 0.7818291838339794]"
main:alexnet_epoch00,2,all,Frh,"[0.336848465884381, 0.3611168388581658, 0.651588563908201]"
main:alexnet_epoch00,3,all,F0,[0.9990356829245882]
main:alexnet_epoch00,3,all,Fr,"[0.37744409507889615, 0.5001588110664983]"
main:alexnet_epoch00,3,all,Fhp,"[0.6315115627882874, 0.6486146373421493]"
main:alexnet_epoch00,3,all,Frhp,"[0.28318875012789, 0.3023950192011061, 0.580166003726575]"
main:alexnet_epoch00,3,all,Fh,"[0.7693752264505088, 0.7884544637232548]"
main:alexnet_epoch00,3,all,Frh,"[0.33294236106278086, 0.3579543433661711, 0.6676846625109529]"
main:alexnet_epoch00,4,all,F0,[0.9942956237477444]
main:alexnet_epoch00,4,all,Fr,"[0.38276044692525757, 0.499780398058061]"
main:alexnet_epoch00,4,all,Fhp,"[0.6001203904283945, 0.6421695018776913]"
main:alexnet_epoch00,4,all,Frhp,"[0.24880937265362268, 0.31401480542023985, 0.5680256454199175]"
main:alexnet_epoch00,4,all,Fh,"[0.7537908996533791, 0.7930353079685213]"
main:alexnet_epoch00,4,all,Frh,"[0.32306358097257415, 0.3606422743107415, 0.6680578839621102]"
main:alexnet_epoch00,5,all,F0,[0.9982433109472191]
main:alexnet_epoch00,5,all,Fr,"[0.3599474276743425, 0.5066676301863233]"
main:alexnet_epoch00,5,all,Fhp,"[0.6042178916333169, 0.6372109685984779]"
main:alexnet_epoch00,5,all,Frhp,"[0.23238806674289675, 0.31986577002567307, 0.5643332386749703]"
main:alexnet_epoch00,5,all,Fh,"[0.7516233191302497, 0.7868088361622828]"
main:alexnet_epoch00,5,all,Frh,"[0.29363126617871116, 0.3716283218952605, 0.6635096604834031]"
main:alexnet_epoch01,1,all,F0,[1.0108856159423225]
main:alexnet_epoch01,1,all,Fr,"[0.49335433993321615, 0.4569567964927731]"
main:alexnet_epoch01,1,all,Fhp,"[0.722544132403513, 0.5854849050349131]"
main:alexnet_epoch01,1,all,Frhp,"[0.30742820174756935, 0.34456865982651097, 0.523465936010836]"
main:alexnet_epoch01,1,all,Fh,"[0.8574145728928129, 0.70380571126059]"
main:alexnet_epoch01,1,all,Frh,"[0.41283311452686844, 0.3634766461446279, 0.5999663162988075]"
main:alexnet_epoch01,2,all,F0,[1.0117207386707021]
main:alexnet_epoch01,2,all,Fr,"[0.4857676161119836, 0.4622970640415015]"
main:alexnet_epoch01,2,all,Fhp,"[0.6407729562879773, 0.5514181915714178]"
main:alexnet_epoch01,2,all,Frhp,"[0.24689458619968122, 0.35528693138403644, 0.49698795592505907]"
main:alexnet_epoch01,2,all,Fh,"[0.8346966346977658, 0.6900289421399272]"
main:alexnet_epoch01,2,all,Frh,"[0.39984940528235424, 0.364481094905757, 0.5794523086274899]"
main:alexnet_epoch01,3,all,F0,[1.0163849068311568]
main:alexnet_epoch01,3,all,Fr,"[0.5028150009833843, 0.4366103849373367]"
main:alexnet_epoch01,3,all,Fhp,"[0.6548440604615621, 0.5618152735006996]"
main:alexnet_epoch01,3,all,Frhp,"[0.23216896462536918, 0.34377524826114825, 0.5171227093618348]"
main:alexnet_epoch01,3,all,Fh,"[0.8448944276329422, 0.6844158481231872]"
main:alexnet_epoch01,3,all,Frh,"[0.3997678788919974, 0.3503264698940549, 0.5907209316975854]"
main:alexnet_epoch01,4,all,F0,[1.0298166017702042]
main:alexnet_epoch01,4,all,Fr,"[0.5201127613691434, 0.4386406087607825]"
main:alexnet_epoch01,4,all,Fhp,"[0.6862790502513578, 0.5531440347431077]"
main:alexnet_epoch01,4,all,Frhp,"[0.2792135500224455, 0.3401299273025876, 0.5019031805277455]"
main:alexnet_epoch01,4,all,Fh,"[0.8675057678809057, 0.6915573656199232]"
main:alexnet_epoch01,4,all,Frh,"[0.42809873340808857, 0.3526892979094226, 0.5990131096772313]"
main:alexnet_epoch01,5,all,F0,[0.9993194393128731]
main:alexnet_epoch01,5,all,Fr,"[0.47631089991634307, 0.45736874739122074]"
main:alexnet_epoch01,5,all,Fhp,"[0.6428230987366097, 0.5507709810670807]"
main:alexnet_epoch01,5,all,Frhp,"[0.246312689441479, 0.35039834660743663, 0.49758301005464756]"
main:alexnet_epoch01,5,all,Fh,"[0.8212240434313712, 0.6848328360937803]"
