design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
concurrent,unassisted,all,low,airplane,73,0.07865168539325842,0.0898876404494382,0.0449438202247191,0.056179775280898875,0.10112359550561797,0.07865168539325842,0.10112359550561797,0.056179775280898875,0.07865168539325842,0.02247191011235955,0.0449438202247191,0.0449438202247191,0.10112359550561797,0.0449438202247191,0.0449438202247191,0.011235955056179775
concurrent,unassisted,all,low,bear,128,0.041666666666666664,0.10416666666666667,0.06944444444444445,0.06944444444444445,0.027777777777777776,0.05555555555555555,0.034722222222222224,0.05555555555555555,0.09722222222222222,0.034722222222222224,0.08333333333333333,0.13194444444444445,0.05555555555555555,0.034722222222222224,0.06944444444444445,0.034722222222222224
concurrent,unassisted,all,low,bicycle,25,0.07317073170731707,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.024390243902439025,0.04878048780487805,0.12195121951219512,0.04878048780487805,0.04878048780487805,0.024390243902439025,0.0975609756097561,0.024390243902439025,0.0975609756097561,0.0975609756097561,0.04878048780487805,0.04878048780487805
concurrent,unassisted,all,low,bird,80,0.041666666666666664,0.09375,0.052083333333333336,0.1875,0.052083333333333336,0.08333333333333333,0.07291666666666667,0.041666666666666664,0.052083333333333336,0.020833333333333332,0.10416666666666667,0.041666666666666664,0.07291666666666667,0.03125,0.010416666666666666,0.041666666666666664
concurrent,unassisted,all,low,boat,158,0.11494252873563218,0.07471264367816093,0.034482758620689655,0.05747126436781609,0.16091954022988506,0.05172413793103448,0.10919540229885058,0.04597701149425287,0.04597701149425287,0.034482758620689655,0.017241379310344827,0.040229885057471264,0.028735632183908046,0.08045977011494253,0.05747126436781609,0.04597701149425287
concurrent,unassisted,all,low,bottle,54,0.02857142857142857,0.04285714285714286,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.17142857142857143,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.07142857142857142,0.04285714285714286,0.07142857142857142,0.02857142857142857,0.11428571428571428,0.08571428571428572
concurrent,unassisted,all,low,car,59,0.04,0.04,0.02666666666666667,0.06666666666666667,0.013333333333333334,0.08,0.12,0.013333333333333334,0.08,0.013333333333333334,0.05333333333333334,0.08,0.12,0.09333333333333334,0.04,0.12
concurrent,unassisted,all,low,cat,75,0.02197802197802198,0.08791208791208792,0.08791208791208792,0.07692307692307693,0.03296703296703297,0.08791208791208792,0.03296703296703297,0.12087912087912088,0.054945054945054944,0.03296703296703297,0.12087912087912088,0.06593406593406594,0.054945054945054944,0.04395604395604396,0.03296703296703297,0.04395604395604396
concurrent,unassisted,all,low,chair,118,0.029850746268656716,0.05223880597014925,0.07462686567164178,0.007462686567164179,0.04477611940298507,0.07462686567164178,0.07462686567164178,0.06716417910447761,0.20149253731343283,0.029850746268656716,0.05223880597014925,0.014925373134328358,0.08955223880597014,0.09701492537313433,0.05970149253731343,0.029850746268656716
concurrent,unassisted,all,low,clock,55,0.04225352112676056,0.056338028169014086,0.07042253521126761,0.028169014084507043,0.07042253521126761,0.014084507042253521,0.056338028169014086,0.056338028169014086,0.07042253521126761,0.11267605633802817,0.09859154929577464,0.056338028169014086,0.056338028169014086,0.056338028169014086,0.09859154929577464,0.056338028169014086
concurrent,unassisted,all,low,dog,118,0.04477611940298507,0.06716417910447761,0.03731343283582089,0.09701492537313433,0.04477611940298507,0.06716417910447761,0.022388059701492536,0.05970149253731343,0.03731343283582089,0.08208955223880597,0.20149253731343283,0.05970149253731343,0.04477611940298507,0.05223880597014925,0.029850746268656716,0.05223880597014925
concurrent,unassisted,all,low,elephant,71,0.06896551724137931,0.11494252873563218,0.06896551724137931,0.034482758620689655,0.011494252873563218,0.04597701149425287,0.04597701149425287,0.034482758620689655,0.06896551724137931,0.011494252873563218,0.11494252873563218,0.12643678160919541,0.05747126436781609,0.05747126436781609,0.05747126436781609,0.08045977011494253
concurrent,unassisted,all,low,keyboard,119,0.037037037037037035,0.05925925925925926,0.02962962962962963,0.05925925925925926,0.02962962962962963,0.05185185185185185,0.06666666666666667,0.08888888888888889,0.044444444444444446,0.05925925925925926,0.044444444444444446,0.022222222222222223,0.16296296296296298,0.13333333333333333,0.07407407407407407,0.037037037037037035
concurrent,unassisted,all,low,knife,60,0.013157894736842105,0.09210526315789473,0.05263157894736842,0.10526315789473684,0.039473684210526314,0.05263157894736842,0.039473684210526314,0.09210526315789473,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.013157894736842105,0.17105263157894737,0.06578947368421052,0.05263157894736842
concurrent,unassisted,all,low,oven,58,0.013513513513513514,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.04054054054054054,0.06756756756756757,0.04054054054054054,0.013513513513513514,0.04054054054054054,0.06756756756756757,0.12162162162162163,0.2702702702702703,0.08108108108108109
concurrent,unassisted,all,low,truck,65,0.12345679012345678,0.04938271604938271,0.04938271604938271,0.06172839506172839,0.04938271604938271,0.04938271604938271,0.07407407407407407,0.04938271604938271,0.06172839506172839,0.04938271604938271,0.037037037037037035,0.06172839506172839,0.04938271604938271,0.07407407407407407,0.037037037037037035,0.12345679012345678
concurrent,unassisted,all,medium,airplane,34,0.4,0.04,0.02,0.04,0.08,0.02,0.06,0.02,0.02,0.06,0.04,0.04,0.04,0.02,0.04,0.06
concurrent,unassisted,all,medium,bear,39,0.03636363636363636,0.23636363636363636,0.01818181818181818,0.07272727272727272,0.01818181818181818,0.03636363636363636,0.05454545454545454,0.07272727272727272,0.05454545454545454,0.03636363636363636,0.10909090909090909,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.01818181818181818,0.05454545454545454
concurrent,unassisted,all,medium,bicycle,32,0.020833333333333332,0.020833333333333332,0.3541666666666667,0.041666666666666664,0.0625,0.08333333333333333,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.0625,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664
concurrent,unassisted,all,medium,bird,25,0.04878048780487805,0.024390243902439025,0.04878048780487805,0.2926829268292683,0.04878048780487805,0.07317073170731707,0.07317073170731707,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.04878048780487805,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.024390243902439025
