design,condition,ai_level,confidence,human_label,n,P_true_airplane,P_true_bear,P_true_bicycle,P_true_bird,P_true_boat,P_true_bottle,P_true_car,P_true_cat,P_true_chair,P_true_clock,P_true_dog,P_true_elephant,P_true_keyboard,P_true_knife,P_true_oven,P_true_truck
sequential,unassisted,all,low,airplane,224,0.22083333333333333,0.0375,0.06666666666666667,0.0375,0.09166666666666666,0.058333333333333334,0.05,0.07083333333333333,0.05,0.04583333333333333,0.041666666666666664,0.05416666666666667,0.08333333333333333,0.058333333333333334,0.008333333333333333,0.025
sequential,unassisted,all,low,bear,313,0.02127659574468085,0.20364741641337386,0.0243161094224924,0.0729483282674772,0.0364741641337386,0.08206686930091185,0.0547112462006079,0.02127659574468085,0.08206686930091185,0.0425531914893617,0.09422492401215805,0.0972644376899696,0.0364741641337386,0.0243161094224924,0.03951367781155015,0.0668693009118541
sequential,unassisted,all,low,bicycle,151,0.059880239520958084,0.011976047904191617,0.32335329341317365,0.029940119760479042,0.08383233532934131,0.023952095808383235,0.0658682634730539,0.03592814371257485,0.05389221556886228,0.011976047904191617,0.05389221556886228,0.0718562874251497,0.0658682634730539,0.03592814371257485,0.017964071856287425,0.05389221556886228
sequential,unassisted,all,low,bird,190,0.05339805825242718,0.06796116504854369,0.05339805825242718,0.2766990291262136,0.043689320388349516,0.043689320388349516,0.02912621359223301,0.04854368932038835,0.024271844660194174,0.02912621359223301,0.11165048543689321,0.04854368932038835,0.06310679611650485,0.04854368932038835,0.03398058252427184,0.024271844660194174
sequential,unassisted,all,low,boat,574,0.08644067796610169,0.07457627118644068,0.04745762711864407,0.06949152542372881,0.16610169491525423,0.059322033898305086,0.0576271186440678,0.02711864406779661,0.061016949152542375,0.04745762711864407,0.06271186440677966,0.025423728813559324,0.05254237288135593,0.05084745762711865,0.05593220338983051,0.05593220338983051
sequential,unassisted,all,low,bottle,312,0.051829268292682924,0.04573170731707317,0.036585365853658534,0.057926829268292686,0.039634146341463415,0.24085365853658536,0.042682926829268296,0.036585365853658534,0.04573170731707317,0.042682926829268296,0.051829268292682924,0.03048780487804878,0.07317073170731707,0.06402439024390244,0.07621951219512195,0.06402439024390244
sequential,unassisted,all,low,car,283,0.06020066889632107,0.056856187290969896,0.043478260869565216,0.030100334448160536,0.06020066889632107,0.06354515050167224,0.20066889632107024,0.03678929765886288,0.07357859531772576,0.04013377926421405,0.03678929765886288,0.046822742474916385,0.06020066889632107,0.03678929765886288,0.056856187290969896,0.09698996655518395
sequential,unassisted,all,low,cat,210,0.03982300884955752,0.07079646017699115,0.061946902654867256,0.05309734513274336,0.022123893805309734,0.06637168141592921,0.03982300884955752,0.24778761061946902,0.05752212389380531,0.022123893805309734,0.1415929203539823,0.06637168141592921,0.022123893805309734,0.04424778761061947,0.017699115044247787,0.02654867256637168
sequential,unassisted,all,low,chair,415,0.027842227378190254,0.04640371229698376,0.04640371229698376,0.04408352668213457,0.03944315545243619,0.07192575406032482,0.03480278422273782,0.06960556844547564,0.22041763341067286,0.058004640371229696,0.08352668213457076,0.03248259860788863,0.05336426914153132,0.08584686774941995,0.048723897911832945,0.037122969837587005
sequential,unassisted,all,low,clock,338,0.04519774011299435,0.05084745762711865,0.07627118644067797,0.05084745762711865,0.03954802259887006,0.06497175141242938,0.022598870056497175,0.062146892655367235,0.062146892655367235,0.14124293785310735,0.059322033898305086,0.05367231638418079,0.07909604519774012,0.08192090395480225,0.059322033898305086,0.05084745762711865
sequential,unassisted,all,low,dog,385,0.02743142144638404,0.10723192019950124,0.0773067331670823,0.04239401496259352,0.04488778054862843,0.04738154613466334,0.06483790523690773,0.0798004987531172,0.05486284289276808,0.029925187032418952,0.15211970074812967,0.09725685785536159,0.04239401496259352,0.034912718204488775,0.034912718204488775,0.06234413965087282
sequential,unassisted,all,low,elephant,184,0.02,0.05,0.08,0.03,0.03,0.06,0.045,0.06,0.085,0.045,0.1,0.24,0.03,0.04,0.03,0.055
sequential,unassisted,all,low,keyboard,556,0.045454545454545456,0.0472027972027972,0.04195804195804196,0.04895104895104895,0.05419580419580419,0.05419580419580419,0.043706293706293704,0.04895104895104895,0.04895104895104895,0.05419580419580419,0.045454545454545456,0.04020979020979021,0.16958041958041958,0.1048951048951049,0.10139860139860139,0.050699300699300696
sequential,unassisted,all,low,knife,215,0.025974025974025976,0.03463203463203463,0.030303030303030304,0.06493506493506493,0.047619047619047616,0.0735930735930736,0.05194805194805195,0.08225108225108226,0.05627705627705628,0.06926406926406926,0.03896103896103896,0.047619047619047616,0.05194805194805195,0.18614718614718614,0.06926406926406926,0.06926406926406926
sequential,unassisted,all,low,oven,205,0.00904977375565611,0.05429864253393665,0.03619909502262444,0.01809954751131222,0.03619909502262444,0.04524886877828054,0.01809954751131222,0.049773755656108594,0.049773755656108594,0.07239819004524888,0.027149321266968326,0.01809954751131222,0.03167420814479638,0.09954751131221719,0.37104072398190047,0.06334841628959276
sequential,unassisted,all,low,truck,141,0.06369426751592357,0.044585987261146494,0.025477707006369428,0.044585987261146494,0.044585987261146494,0.03821656050955414,0.08917197452229299,0.050955414012738856,0.07006369426751592,0.08280254777070063,0.025477707006369428,0.025477707006369428,0.05732484076433121,0.03821656050955414,0.05732484076433121,0.24203821656050956
sequential,unassisted,all,medium,airplane,172,0.526595744680851,0.010638297872340425,0.02127659574468085,0.0425531914893617,0.10638297872340426,0.010638297872340425,0.047872340425531915,0.031914893617021274,0.015957446808510637,0.026595744680851064,0.03723404255319149,0.005319148936170213,0.03723404255319149,0.02127659574468085,0.02127659574468085,0.03723404255319149
sequential,unassisted,all,medium,bear,250,0.03759398496240601,0.3233082706766917,0.045112781954887216,0.07142857142857142,0.018796992481203006,0.03007518796992481,0.045112781954887216,0.04887218045112782,0.04887218045112782,0.022556390977443608,0.11278195488721804,0.06015037593984962,0.03383458646616541,0.03759398496240601,0.011278195488721804,0.05263157894736842
sequential,unassisted,all,medium,bicycle,173,0.010582010582010581,0.031746031746031744,0.5396825396825397,0.021164021164021163,0.047619047619047616,0.037037037037037035,0.021164021164021163,0.010582010582010581,0.042328042328042326,0.031746031746031744,0.015873015873015872,0.021164021164021163,0.037037037037037035,0.026455026455026454,0.037037037037037035,0.06878306878306878
sequential,unassisted,all,medium,bird,171,0.016042780748663103,0.06417112299465241,0.03208556149732621,0.5989304812834224,0.0053475935828877,0.0213903743315508,0.0213903743315508,0.026737967914438502,0.0213903743315508,0.0213903743315508,0.0374331550802139,0.0374331550802139,0.026737967914438502,0.016042780748663103,0.026737967914438502,0.026737967914438502
sequential,unassisted,all,medium,boat,271,0.07665505226480836,0.0313588850174216,0.04878048780487805,0.041811846689895474,0.397212543554007,0.05574912891986063,0.041811846689895474,0.03484320557491289,0.03484320557491289,0.024390243902439025,0.024390243902439025,0.03484320557491289,0.03484320557491289,0.04529616724738676,0.027874564459930314,0.04529616724738676
sequential,unassisted,all,medium,bottle,239,0.054901960784313725,0.0196078431372549,0.050980392156862744,0.054901960784313725,0.03137254901960784,0.34509803921568627,0.03529411764705882,0.023529411764705882,0.07058823529411765,0.0392156862745098,0.06666666666666667,0.027450980392156862,0.0196078431372549,0.054901960784313725,0.07450980392156863,0.03137254901960784
sequential,unassisted,all,medium,car,327,0.04956268221574344,0.04664723032069971,0.037900874635568516,0.029154518950437316,0.04081632653061224,0.043731778425655975,0.2944606413994169,0.03206997084548105,0.04956268221574344,0.03206997084548105,0.05539358600583091,0.026239067055393587,0.052478134110787174,0.061224489795918366,0.04081632653061224,0.10787172011661808
sequential,unassisted,all,medium,cat,216,0.017241379310344827,0.07327586206896551,0.03879310344827586,0.05603448275862069,0.01293103448275862,0.02586206896551724,0.017241379310344827,0.4267241379310345,0.03879310344827586,0.034482758620689655,0.11637931034482758,0.04310344827586207,0.021551724137931036,0.03879310344827586,0.008620689655172414,0.03017241379310345
sequential,unassisted,all,medium,chair,230,0.016260162601626018,0.044715447154471545,0.02032520325203252,0.032520325203252036,0.04065040650406504,0.06504065040650407,0.036585365853658534,0.056910569105691054,0.4105691056910569,0.052845528455284556,0.04065040650406504,0.036585365853658534,0.028455284552845527,0.04878048780487805,0.036585365853658534,0.032520325203252036
sequential,unassisted,all,medium,clock,328,0.0377906976744186,0.0377906976744186,0.03197674418604651,0.03488372093023256,0.02616279069767442,0.05232558139534884,0.046511627906976744,0.0436046511627907,0.061046511627906974,0.3691860465116279,0.03197674418604651,0.040697674418604654,0.055232558139534885,0.046511627906976744,0.03488372093023256,0.04941860465116279
sequential,unassisted,all,medium,dog,369,0.04415584415584416,0.07532467532467532,0.03896103896103896,0.05454545454545454,0.03896103896103896,0.05194805194805195,0.05974025974025974,0.06233766233766234,0.04155844155844156,0.05714285714285714,0.24675324675324675,0.06493506493506493,0.05454545454545454,0.04155844155844156,0.03116883116883117,0.03636363636363636
sequential,unassisted,all,medium,elephant,205,0.01809954751131222,0.07239819004524888,0.06787330316742081,0.04072398190045249,0.01809954751131222,0.027149321266968326,0.01809954751131222,0.04072398190045249,0.06334841628959276,0.013574660633484163,0.04072398190045249,0.47058823529411764,0.03167420814479638,0.02262443438914027,0.01809954751131222,0.03619909502262444
sequential,unassisted,all,medium,keyboard,263,0.014336917562724014,0.017921146953405017,0.035842293906810034,0.021505376344086023,0.025089605734767026,0.025089605734767026,0.04659498207885305,0.043010752688172046,0.02867383512544803,0.035842293906810034,0.025089605734767026,0.010752688172043012,0.46236559139784944,0.06451612903225806,0.11469534050179211,0.02867383512544803
sequential,unassisted,all,medium,knife,197,0.03286384976525822,0.03286384976525822,0.03286384976525822,0.056338028169014086,0.051643192488262914,0.04225352112676056,0.023474178403755867,0.056338028169014086,0.03286384976525822,0.046948356807511735,0.04225352112676056,0.028169014084507043,0.028169014084507043,0.4131455399061033,0.06572769953051644,0.014084507042253521
sequential,unassisted,all,medium,oven,252,0.022388059701492536,0.018656716417910446,0.022388059701492536,0.022388059701492536,0.029850746268656716,0.03731343283582089,0.007462686567164179,0.022388059701492536,0.048507462686567165,0.06343283582089553,0.018656716417910446,0.033582089552238806,0.05223880597014925,0.029850746268656716,0.5373134328358209,0.033582089552238806
sequential,unassisted,all,medium,truck,156,0.06395348837209303,0.01744186046511628,0.029069767441860465,0.01744186046511628,0.029069767441860465,0.03488372093023256,0.046511627906976744,0.01744186046511628,0.023255813953488372,0.023255813953488372,0.029069767441860465,0.029069767441860465,0.01744186046511628,0.01744186046511628,0.06395348837209303,0.5406976744186046
sequential,unassisted,all,high,airplane,380,0.8585858585858586,0.007575757575757576,0.010101010101010102,0.005050505050505051,0.03282828282828283,0.005050505050505051,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0025252525252525255,0.012626262626262626,0.0025252525252525255,0.012626262626262626,0.010101010101010102,0.007575757575757576,0.010101010101010102
sequential,unassisted,all,high,bear,275,0.013745704467353952,0.7422680412371134,0.027491408934707903,0.020618556701030927,0.006872852233676976,0.020618556701030927,0.010309278350515464,0.013745704467353952,0.01718213058419244,0.006872852233676976,0.048109965635738834,0.03436426116838488,0.013745704467353952,0.003436426116838488,0.006872852233676976,0.013745704467353952
