noise,confidence,ratings,accuracy,diag_structured,diag_alpha1
80,low,503,0.5526838966202783,0.5034390305658223,0.37872957579611977
80,medium,849,0.7938751472320377,0.7849450188177349,0.591161592334701
80,high,4083,0.9603232916972814,0.948877012480603,0.8934613434410139
95,low,774,0.46770025839793283,0.4453313430720103,0.3491009283812589
95,medium,1157,0.8314606741573034,0.8124949335753253,0.6588203504507387
95,high,3499,0.9511288939697057,0.9415134334795179,0.8758895839600599
110,low,1388,0.414985590778098,0.4107383469080989,0.34750119680799113
110,medium,1227,0.7669111654441728,0.7623236399013723,0.6154056880057972
110,high,2833,0.9346981997882103,0.9268351775920979,0.8453184795461953
125,low,2404,0.32945091514143093,0.33393706561873365,0.295002205562287
125,medium,1247,0.7032878909382518,0.7131788552904526,0.5691222397105777
125,high,1778,0.8723284589426322,0.8779974163452419,0.7513385277451704
