outer_fold,nested_fold,empty_prior_rows,strength_noise_80,strength_noise_95,strength_noise_110,strength_noise_125
1,2,0,16.0,16.0,16.0,16.0
1,3,0,16.0,16.0,16.0,16.0
1,4,0,16.0,16.0,16.0,16.0
1,5,0,16.0,16.0,16.0,16.0
2,1,0,16.0,16.0,16.0,16.0
2,3,0,16.0,16.0,16.0,16.0
2,4,0,16.0,16.0,16.0,16.0
2,5,0,16.0,16.0,16.0,16.0
3,1,0,16.0,16.0,16.0,16.0
3,2,0,16.0,16.0,16.0,16.0
3,4,0,16.0,16.0,16.0,16.0
3,5,0,16.0,16.0,16.0,16.0
4,1,0,16.0,16.0,16.0,16.0
4,2,0,16.0,16.0,16.0,16.0
4,3,0,16.0,16.0,16.0,16.0
4,5,0,16.0,16.0,16.0,16.0
5,1,0,16.0,16.0,16.0,16.0
5,2,0,16.0,16.0,16.0,16.0
5,3,0,16.0,16.0,16.0,16.0
5,4,0,16.0,16.0,16.0,16.0
