noise_level,bin_lo,bin_hi,n,mean_pred,obs_freq,forecast
80,0.0,0.01,1562,0.008514773539966752,0.002560819462227913,human confusion row (individual)
80,0.01,0.02,13374,0.013367521614438639,0.001794526693584567,human confusion row (individual)
80,0.02,0.05,7901,0.03315952968596137,0.010251866852297177,human confusion row (individual)
80,0.05,0.1,1368,0.06442776491029416,0.043859649122807015,human confusion row (individual)
80,0.1,0.2,331,0.13693872730399329,0.13293051359516617,human confusion row (individual)
80,0.2,0.3,125,0.2450257768030888,0.672,human confusion row (individual)
80,0.3,0.4,120,0.34159030866716894,0.75,human confusion row (individual)
80,0.4,0.5,98,0.44648975583318734,0.7551020408163265,human confusion row (individual)
80,0.5,0.6,111,0.5405439065891062,0.918918918918919,human confusion row (individual)
80,0.6,0.7,155,0.6782120417364986,0.9612903225806452,human confusion row (individual)
80,0.7,0.8,475,0.7557147486013293,0.9368421052631579,human confusion row (individual)
80,0.8,0.9,492,0.8231759015794845,0.9654471544715447,human confusion row (individual)
95,0.0,0.01,1020,0.009367569324113461,0.0,human confusion row (individual)
95,0.01,0.02,10612,0.013726505412627205,0.001601960045231813,human confusion row (individual)
95,0.02,0.05,10862,0.031025312170046896,0.010311176578898913,human confusion row (individual)
95,0.05,0.1,1474,0.0660338702244365,0.03731343283582089,human confusion row (individual)
95,0.1,0.2,431,0.12886264584239196,0.13921113689095127,human confusion row (individual)
95,0.2,0.3,137,0.23890102053263151,0.5693430656934306,human confusion row (individual)
95,0.3,0.4,101,0.34445589155116274,0.6237623762376238,human confusion row (individual)
95,0.4,0.5,173,0.4375804034770851,0.861271676300578,human confusion row (individual)
95,0.5,0.6,180,0.5455513702569152,0.8722222222222222,human confusion row (individual)
95,0.6,0.7,208,0.6397418117234606,0.8990384615384616,human confusion row (individual)
95,0.7,0.8,445,0.7547247744616322,0.9550561797752809,human confusion row (individual)
95,0.8,0.9,325,0.8232916160287389,0.9846153846153847,human confusion row (individual)
110,0.01,0.02,8197,0.014910737802093186,0.0028059045992436258,human confusion row (individual)
110,0.02,0.05,12795,0.02976545646125924,0.014693239546697929,human confusion row (individual)
110,0.05,0.1,2699,0.06873533831619012,0.0444609114486847,human confusion row (individual)
110,0.1,0.2,868,0.13403801354461928,0.15898617511520738,human confusion row (individual)
110,0.2,0.3,266,0.2502560908769592,0.2894736842105263,human confusion row (individual)
110,0.3,0.4,149,0.3504390514380705,0.6442953020134228,human confusion row (individual)
110,0.4,0.5,235,0.4478413422522782,0.7659574468085106,human confusion row (individual)
110,0.5,0.6,215,0.5477489075824689,0.8604651162790697,human confusion row (individual)
110,0.6,0.7,212,0.656028023886141,0.9292452830188679,human confusion row (individual)
110,0.7,0.8,401,0.7400864893294898,0.9226932668329177,human confusion row (individual)
110,0.8,0.9,59,0.8206966145806173,0.9661016949152542,human confusion row (individual)
125,0.01,0.02,4956,0.016666886061235512,0.011904761904761904,human confusion row (individual)
125,0.02,0.05,13294,0.031574994283174396,0.02038513615164736,human confusion row (individual)
125,0.05,0.1,4964,0.06795466264588768,0.05076551168412571,human confusion row (individual)
125,0.1,0.2,1375,0.13116193209453184,0.104,human confusion row (individual)
125,0.2,0.3,488,0.24200716519544466,0.3422131147540984,human confusion row (individual)
125,0.3,0.4,296,0.3520603520383512,0.6216216216216216,human confusion row (individual)
