fold,combiner,w_m,n_train_items,n_train_ratings,w_r,w_h
1,F0 (a),0.9861313214544054,864,5211,,
1,"F(a, r_a)",0.7417142666050701,864,5211,0.23618790537103723,
1,"F(a, h) individual",0.8849019583908253,864,5211,,1.0741565816281047
1,"F(a, h) pooled",0.8482989220207515,864,5211,,0.5818538912007076
1,"F(a, r_a, h) individual",0.661940765996863,864,5211,0.21771159948049434,1.0571218369270485
1,"F(a, r_a, h) pooled",0.6203713508438629,864,5211,0.22273615582264555,0.5834497566595148
2,F0 (a),0.9891390964369218,864,5212,,
2,"F(a, r_a)",0.740925235070628,864,5212,0.23890430882236252,
2,"F(a, h) individual",0.8741131379121285,864,5212,,1.0595724649606606
2,"F(a, h) pooled",0.8172839552633837,864,5212,,0.6022135730940034
2,"F(a, r_a, h) individual",0.6661219758386037,864,5212,0.19956279107420383,1.0237327384260864
2,"F(a, r_a, h) pooled",0.6512031939662764,864,5212,0.15249928355504194,0.5837408334620757
3,F0 (a),0.9978346542135386,864,5216,,
3,"F(a, r_a)",0.7229326661644858,864,5216,0.27488106121746136,
3,"F(a, h) individual",0.9199982270550752,864,5216,,1.05251346783274
3,"F(a, h) pooled",0.8434283409300807,864,5216,,0.5733852200676398
3,"F(a, r_a, h) individual",0.6514447092020744,864,5216,0.2554686151382288,1.0257919385586103
3,"F(a, r_a, h) pooled",0.5931090426623973,864,5216,0.24026679496446385,0.5649011148122656
4,F0 (a),0.9996623009189852,864,5212,,
4,"F(a, r_a)",0.7973821599019646,864,5212,0.20385842492660078,
4,"F(a, h) individual",0.9789981971797507,864,5212,,1.0368142962961797
4,"F(a, h) pooled",0.9429270005298067,864,5212,,0.593198002423828
4,"F(a, r_a, h) individual",0.7626123847341202,864,5212,0.20894884564521743,1.0430198387535041
4,"F(a, r_a, h) pooled",0.7122372152887937,864,5212,0.216413200603326,0.5970656932724057
5,F0 (a),0.9977443123446688,864,5213,,
5,"F(a, r_a)",0.7690860259886827,864,5213,0.21236867731462128,
5,"F(a, h) individual",0.8747205632625237,864,5213,,1.010241262338583
5,"F(a, h) pooled",0.8007382037431832,864,5213,,0.5484965902989651
5,"F(a, r_a, h) individual",0.6562501358149997,864,5213,0.20244537567372115,0.9954319340386034
5,"F(a, r_a, h) pooled",0.6329252512760899,864,5213,0.1569255265213647,0.5342514287704758
