rank,variant,architecture,level,selection_log_loss,selection_accuracy
1,vgg19_epoch10,vgg19,epoch10,0.4361701243202462,0.87
2,densenet161_epoch10,densenet161,epoch10,0.47674039494697507,0.855
3,vgg19_epoch01,vgg19,epoch01,0.6081605353268423,0.8108333333333333
4,resnet152_epoch01,resnet152,epoch01,0.6902458887419202,0.7758333333333334
5,densenet161_epoch01,densenet161,epoch01,0.7021001231174573,0.8
6,googlenet_epoch01,googlenet,epoch01,0.7489722934028341,0.7591666666666667
7,resnet152_epoch10,resnet152,epoch10,0.807699670847449,0.7491666666666666
8,alexnet_epoch10,alexnet,epoch10,0.8287915895524735,0.7241666666666666
9,googlenet_epoch10,googlenet,epoch10,0.8400390861153568,0.7491666666666666
10,densenet161_epoch00,densenet161,epoch00,0.8838571490230337,0.7383333333333333
11,alexnet_epoch01,alexnet,epoch01,0.9421893690230096,0.71
12,vgg19_epoch00,vgg19,epoch00,1.0752661783020268,0.6733333333333333
13,resnet152_epoch00,resnet152,epoch00,1.1766174113503716,0.6491666666666667
14,googlenet_epoch00,googlenet,epoch00,1.2225214033496643,0.6116666666666667
15,alexnet_epoch00,alexnet,epoch00,1.37685392992232,0.5516666666666666
16,googlenet_baseline,googlenet,baseline,1.7532478758743646,0.4558333333333333
17,densenet161_baseline,densenet161,baseline,1.8396893520717112,0.49416666666666664
18,resnet152_baseline,resnet152,baseline,2.1304776979875593,0.44916666666666666
19,vgg19_baseline,vgg19,baseline,2.3125477577600577,0.36583333333333334
20,alexnet_baseline,alexnet,baseline,2.5561481100044317,0.29333333333333333
